,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,NEW_X,NEW_Y
80,Shot Chart Detail,0021700002,56,201939,Stephen Curry,1610612744,Golden State Warriors,1,8,9,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,95,242,1,1,20171017,GSW,HOU,484.7187651438894,267.45517328095667
120,Shot Chart Detail,0021700002,370,201939,Stephen Curry,1610612744,Golden State Warriors,3,11,13,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,14,1,1,20171017,GSW,HOU,245.08290376865477,10.516660498395405
121,Shot Chart Detail,0021700002,373,201939,Stephen Curry,1610612744,Golden State Warriors,3,10,57,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,30,252,1,1,20171017,GSW,HOU,425.4922678357857,260.0384757729337
130,Shot Chart Detail,0021700002,408,201939,Stephen Curry,1610612744,Golden State Warriors,3,7,15,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,130,17,1,1,20171017,GSW,HOU,389.8149545762236,51.83339501604595
153,Shot Chart Detail,0021700002,608,201939,Stephen Curry,1610612744,Golden State Warriors,4,5,48,Made Shot,Turnaround Hook Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,110,45,1,1,20171017,GSW,HOU,385.98076211353316,74.4744111674235
155,Shot Chart Detail,0021700002,610,201939,Stephen Curry,1610612744,Golden State Warriors,4,5,12,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-75,241,1,1,20171017,GSW,HOU,314.14141487469976,220.9038105676658
157,Shot Chart Detail,0021700002,627,201939,Stephen Curry,1610612744,Golden State Warriors,4,4,14,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,1,22,1,1,20171017,GSW,HOU,263.70170592217175,22.26794919243112
159,Shot Chart Detail,0021700002,636,201939,Stephen Curry,1610612744,Golden State Warriors,4,3,50,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,7,20,1,1,20171017,GSW,HOU,268.5470053837925,21.875644347017857
1899,Shot Chart Detail,0021700025,89,201939,Stephen Curry,1610612744,Golden State Warriors,1,4,48,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,22,196,120,1,1,20171020,NOP,GSW,515.282032302755,172.51804171650005
1903,Shot Chart Detail,0021700025,139,201939,Stephen Curry,1610612744,Golden State Warriors,1,2,15,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-17,16,1,1,20171020,NOP,GSW,242.23760430703402,11.444863728670914
1907,Shot Chart Detail,0021700025,146,201939,Stephen Curry,1610612744,Golden State Warriors,1,1,7,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,30,-133,275,1,1,20171020,NOP,GSW,275.7713240271471,239.36275740666068
1924,Shot Chart Detail,0021700025,326,201939,Stephen Curry,1610612744,Golden State Warriors,2,4,26,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-103,236,1,1,20171020,NOP,GSW,283.2546635287517,208.40123317959436
1947,Shot Chart Detail,0021700025,519,201939,Stephen Curry,1610612744,Golden State Warriors,3,4,1,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,29,9,1,1,20171020,NOP,GSW,284.19615242270663,16.77052658050256
1951,Shot Chart Detail,0021700025,546,201939,Stephen Curry,1610612744,Golden State Warriors,3,1,50,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,192,184,1,1,20171020,NOP,GSW,548.2324495308911,235.44624494677555
1973,Shot Chart Detail,0021700025,712,201939,Stephen Curry,1610612744,Golden State Warriors,4,1,10,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,239,17,1,1,20171020,NOP,GSW,498.8149545762236,81.03985699103832
2531,Shot Chart Detail,0021700033,67,201939,Stephen Curry,1610612744,Golden State Warriors,1,6,46,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-39,260,1,1,20171021,MEM,GSW,361.1110699893027,249.54998149518622
2532,Shot Chart Detail,0021700033,87,201939,Stephen Curry,1610612744,Golden State Warriors,1,5,25,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-56,167,1,1,20171021,MEM,GSW,290.4174949546675,151.99484522385714
2555,Shot Chart Detail,0021700033,283,201939,Stephen Curry,1610612744,Golden State Warriors,2,4,26,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-100,232,1,1,20171021,MEM,GSW,283.94526245199313,205.20508075688772
2556,Shot Chart Detail,0021700033,287,201939,Stephen Curry,1610612744,Golden State Warriors,2,4,9,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,89,237,1,1,20171021,MEM,GSW,475.8320137979413,260.84747812636994
2560,Shot Chart Detail,0021700033,371,201939,Stephen Curry,1610612744,Golden State Warriors,3,11,44,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,22,250,1,1,20171021,MEM,GSW,416.3375672974064,255.8948822334847
2573,Shot Chart Detail,0021700033,481,201939,Stephen Curry,1610612744,Golden State Warriors,3,3,24,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-14,257,1,1,20171021,MEM,GSW,384.37901918173384,253.2487113059643
2589,Shot Chart Detail,0021700033,663,201939,Stephen Curry,1610612744,Golden State Warriors,4,2,0,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,3,1,1,20171021,MEM,GSW,247.73205080756887,1.9282032302755092
2591,Shot Chart Detail,0021700033,672,201939,Stephen Curry,1610612744,Golden State Warriors,4,1,9,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,60,246,1,1,20171021,MEM,GSW,452.0281662206479,262.07695154586736
2592,Shot Chart Detail,0021700033,677,201939,Stephen Curry,1610612744,Golden State Warriors,4,0,43,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,6,1,1,20171021,MEM,GSW,249.46410161513776,4.928203230275509
3418,Shot Chart Detail,0021700045,32,201939,Stephen Curry,1610612744,Golden State Warriors,1,9,29,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,154,148,1,1,20171023,DAL,GSW,489.4478398400646,189.2641756343929
3444,Shot Chart Detail,0021700045,267,201939,Stephen Curry,1610612744,Golden State Warriors,2,6,59,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-233,-5,1,1,20171023,DAL,GSW,14.113248654051871,-67.4321618364516
3452,Shot Chart Detail,0021700045,323,201939,Stephen Curry,1610612744,Golden State Warriors,2,2,58,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,32,19,1,1,20171023,DAL,GSW,292.9696551146029,27.574374157795926
3461,Shot Chart Detail,0021700045,383,201939,Stephen Curry,1610612744,Golden State Warriors,3,10,24,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,179,173,1,1,20171023,DAL,GSW,528.8815965698052,220.96290544517097
3473,Shot Chart Detail,0021700045,456,201939,Stephen Curry,1610612744,Golden State Warriors,3,4,43,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-19,123,1,1,20171023,DAL,GSW,302.01408311032395,117.90896534380867
3475,Shot Chart Detail,0021700045,474,201939,Stephen Curry,1610612744,Golden State Warriors,3,3,25,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,76,44,1,1,20171023,DAL,GSW,351.4034118443435,64.36413862476533
3480,Shot Chart Detail,0021700045,524,201939,Stephen Curry,1610612744,Golden State Warriors,3,0,7,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,22,155,157,1,1,20171023,DAL,GSW,495.64399226277123,198.53212482682403
4830,Shot Chart Detail,0021700063,90,201939,Stephen Curry,1610612744,Golden State Warriors,1,5,18,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-8,6,1,1,20171025,GSW,TOR,245.46410161513776,3.8564064605510184
4834,Shot Chart Detail,0021700063,128,201939,Stephen Curry,1610612744,Golden State Warriors,1,2,55,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,79,165,1,1,20171025,GSW,TOR,424.2627944162882,186.1679862020587
4861,Shot Chart Detail,0021700063,335,201939,Stephen Curry,1610612744,Golden State Warriors,3,11,49,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-226,111,1,1,20171025,GSW,TOR,88.08587988004845,50.44348251056627
4868,Shot Chart Detail,0021700063,366,201939,Stephen Curry,1610612744,Golden State Warriors,3,8,24,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-3,24,1,1,20171025,GSW,TOR,260.856406460551,23.196152422706632
4880,Shot Chart Detail,0021700063,429,201939,Stephen Curry,1610612744,Golden State Warriors,3,2,40,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-13,17,1,1,20171025,GSW,TOR,246.81495457622364,13.516660498395405
4883,Shot Chart Detail,0021700063,455,201939,Stephen Curry,1610612744,Golden State Warriors,3,1,17,Made Shot,Pullup Jump shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-222,-13,1,1,20171025,GSW,TOR,20.494446500534863,-72.48472071970923
4885,Shot Chart Detail,0021700063,458,201939,Stephen Curry,1610612744,Golden State Warriors,3,0,52,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,28,164,234,1,1,20171025,GSW,TOR,549.0999629903724,277.94366755870413
4902,Shot Chart Detail,0021700063,604,201939,Stephen Curry,1610612744,Golden State Warriors,4,1,28,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,5,27,1,1,20171025,GSW,TOR,270.5884572681199,28.339745962155614
4904,Shot Chart Detail,0021700063,613,201939,Stephen Curry,1610612744,Golden State Warriors,4,0,32,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-90,243,1,1,20171025,GSW,TOR,300.29611541307906,218.88457268119896
5729,Shot Chart Detail,0021700075,63,201939,Stephen Curry,1610612744,Golden State Warriors,1,6,46,Made Shot,Step Back Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-1,120,1,1,20171027,GSW,WAS,318.28203230275506,119.73205080756888
5731,Shot Chart Detail,0021700075,90,201939,Stephen Curry,1610612744,Golden State Warriors,1,5,2,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-7,22,1,1,20171027,GSW,WAS,255.70170592217175,20.124355652982143
5734,Shot Chart Detail,0021700075,115,201939,Stephen Curry,1610612744,Golden State Warriors,1,3,31,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-5,25,1,1,20171027,GSW,WAS,259.43375672974065,23.660254037844386
5736,Shot Chart Detail,0021700075,119,201939,Stephen Curry,1610612744,Golden State Warriors,1,3,2,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,14,-61,127,1,1,20171027,GSW,WAS,262.3234841870825,110.65509926170151
5739,Shot Chart Detail,0021700075,150,201939,Stephen Curry,1610612744,Golden State Warriors,1,1,3,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,120,237,1,1,20171027,GSW,WAS,506.8320137979413,269.1539030917347
5781,Shot Chart Detail,0021700075,523,201939,Stephen Curry,1610612744,Golden State Warriors,3,0,57,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,111,255,1,1,20171027,GSW,WAS,508.22431864335454,284.7423603598546
5783,Shot Chart Detail,0021700075,526,201939,Stephen Curry,1610612744,Golden State Warriors,3,0,29,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-130,219,1,1,20171027,GSW,WAS,246.43970895252804,184.16660498395404
6935,Shot Chart Detail,0021700091,28,201939,Stephen Curry,1610612744,Golden State Warriors,1,8,50,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,189,168,1,1,20171029,GSW,DET,535.9948452238572,218.64239736948218
6940,Shot Chart Detail,0021700091,43,201939,Stephen Curry,1610612744,Golden State Warriors,1,7,3,Made Shot,Running Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,8,1,1,20171029,GSW,DET,267.618802153517,11.483339501604595
6946,Shot Chart Detail,0021700091,80,201939,Stephen Curry,1610612744,Golden State Warriors,1,3,51,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,21,-205,46,1,1,20171029,GSW,DET,71.55811238272278,-8.929584448380155
6948,Shot Chart Detail,0021700091,90,201939,Stephen Curry,1610612744,Golden State Warriors,1,3,26,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-100,226,1,1,20171029,GSW,DET,280.48116083685545,199.20508075688772
6952,Shot Chart Detail,0021700091,105,201939,Stephen Curry,1610612744,Golden State Warriors,1,1,56,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-2,25,1,1,20171029,GSW,DET,262.43375672974065,24.464101615137753
