"","xMin","xMax","yMin","yMax","shotPercentage"
"1",-250,-240,0,10,34.6153846153846
"2",-250,-240,10,20,33.3333333333333
"3",-250,-240,20,30,36.8421052631579
"4",-250,-240,30,40,33.3333333333333
"5",-250,-240,40,50,41.6666666666667
"6",-250,-240,50,60,66.6666666666667
"7",-250,-240,60,70,28.5714285714286
"8",-250,-240,70,80,50
"9",-250,-240,80,90,0
"10",-250,-240,90,100,0
"11",-250,-240,100,110,0
"12",-250,-240,110,120,0
"13",-250,-240,120,130,0
"14",-250,-240,130,140,0
"15",-250,-240,140,150,0
"16",-250,-240,150,160,0
"17",-250,-240,160,170,100
"18",-250,-240,170,180,0
"19",-250,-240,180,190,0
"20",-250,-240,190,200,0
"21",-250,-240,200,210,0
"22",-250,-240,210,220,0
"23",-250,-240,220,230,0
"24",-250,-240,230,240,0
"25",-250,-240,240,250,0
"26",-250,-240,250,260,0
"27",-250,-240,260,270,0
"28",-250,-240,270,280,0
"29",-250,-240,280,290,0
"30",-250,-240,290,300,0
"31",-240,-230,0,10,36.2105263157895
"32",-240,-230,10,20,40.3508771929825
"33",-240,-230,20,30,40.7407407407407
"34",-240,-230,30,40,44.280442804428
"35",-240,-230,40,50,37.2972972972973
"36",-240,-230,50,60,40
"37",-240,-230,60,70,37.719298245614
"38",-240,-230,70,80,30.1075268817204
"39",-240,-230,80,90,42.4657534246575
"40",-240,-230,90,100,36.6666666666667
"41",-240,-230,100,110,48.6486486486486
"42",-240,-230,110,120,33.3333333333333
"43",-240,-230,120,130,36.3636363636364
"44",-240,-230,130,140,16.6666666666667
"45",-240,-230,140,150,33.3333333333333
"46",-240,-230,150,160,0
"47",-240,-230,160,170,0
"48",-240,-230,170,180,0
"49",-240,-230,180,190,0
"50",-240,-230,190,200,0
"51",-240,-230,200,210,0
"52",-240,-230,210,220,0
"53",-240,-230,220,230,0
"54",-240,-230,230,240,0
"55",-240,-230,240,250,0
"56",-240,-230,250,260,0
"57",-240,-230,260,270,0
"58",-240,-230,270,280,0
"59",-240,-230,280,290,0
"60",-240,-230,290,300,0
"61",-230,-220,0,10,38.8696655132641
"62",-230,-220,10,20,37.3525557011796
"63",-230,-220,20,30,37.3770491803279
"64",-230,-220,30,40,37.1007371007371
"65",-230,-220,40,50,34.7682119205298
"66",-230,-220,50,60,37.5510204081633
"67",-230,-220,60,70,37.9888268156425
"68",-230,-220,70,80,34.8314606741573
"69",-230,-220,80,90,39.622641509434
"70",-230,-220,90,100,40.625
"71",-230,-220,100,110,39.1061452513966
"72",-230,-220,110,120,30.7692307692308
"73",-230,-220,120,130,33.3333333333333
"74",-230,-220,130,140,40.5797101449275
"75",-230,-220,140,150,45
"76",-230,-220,150,160,33.3333333333333
"77",-230,-220,160,170,33.3333333333333
"78",-230,-220,170,180,33.3333333333333
"79",-230,-220,180,190,33.3333333333333
"80",-230,-220,190,200,0
"81",-230,-220,200,210,0
"82",-230,-220,210,220,0
"83",-230,-220,220,230,0
"84",-230,-220,230,240,0
"85",-230,-220,240,250,0
"86",-230,-220,250,260,0
"87",-230,-220,260,270,0
"88",-230,-220,270,280,0
"89",-230,-220,280,290,0
"90",-230,-220,290,300,0
"91",-220,-210,0,10,24.3243243243243
"92",-220,-210,10,20,36.3636363636364
"93",-220,-210,20,30,47.6190476190476
"94",-220,-210,30,40,41.6666666666667
"95",-220,-210,40,50,41.1764705882353
"96",-220,-210,50,60,33.3333333333333
"97",-220,-210,60,70,28.5714285714286
"98",-220,-210,70,80,25
"99",-220,-210,80,90,16.6666666666667
"100",-220,-210,90,100,38.4615384615385
"101",-220,-210,100,110,21.4285714285714
"102",-220,-210,110,120,42.1487603305785
"103",-220,-210,120,130,33.0472103004292
"104",-220,-210,130,140,32.8767123287671
"105",-220,-210,140,150,34.8837209302326
"106",-220,-210,150,160,41.6666666666667
"107",-220,-210,160,170,38.6363636363636
"108",-220,-210,170,180,28.5714285714286
"109",-220,-210,180,190,18.1818181818182
"110",-220,-210,190,200,28.5714285714286
"111",-220,-210,200,210,33.3333333333333
"112",-220,-210,210,220,0
"113",-220,-210,220,230,75
"114",-220,-210,230,240,100
"115",-220,-210,240,250,0
"116",-220,-210,250,260,0
"117",-220,-210,260,270,0
"118",-220,-210,270,280,0
"119",-220,-210,280,290,0
"120",-220,-210,290,300,0
"121",-210,-200,0,10,52.3809523809524
"122",-210,-200,10,20,33.3333333333333
"123",-210,-200,20,30,33.3333333333333
"124",-210,-200,30,40,31.25
"125",-210,-200,40,50,61.1111111111111
"126",-210,-200,50,60,30
"127",-210,-200,60,70,11.1111111111111
"128",-210,-200,70,80,30.7692307692308
"129",-210,-200,80,90,62.5
"130",-210,-200,90,100,46.1538461538462
"131",-210,-200,100,110,44.4444444444444
"132",-210,-200,110,120,38.4615384615385
"133",-210,-200,120,130,45.4545454545455
"134",-210,-200,130,140,37.6288659793814
"135",-210,-200,140,150,34.0996168582375
"136",-210,-200,150,160,35.4978354978355
"137",-210,-200,160,170,31.9327731092437
"138",-210,-200,170,180,46.2686567164179
"139",-210,-200,180,190,25.7142857142857
"140",-210,-200,190,200,26.0869565217391
"141",-210,-200,200,210,33.3333333333333
"142",-210,-200,210,220,16.6666666666667
"143",-210,-200,220,230,33.3333333333333
"144",-210,-200,230,240,50
"145",-210,-200,240,250,0
"146",-210,-200,250,260,50
"147",-210,-200,260,270,100
"148",-210,-200,270,280,0
"149",-210,-200,280,290,0
"150",-210,-200,290,300,0
"151",-200,-190,0,10,48.3870967741936
"152",-200,-190,10,20,38.4615384615385
"153",-200,-190,20,30,25.7142857142857
"154",-200,-190,30,40,42.1052631578947
"155",-200,-190,40,50,23.5294117647059
"156",-200,-190,50,60,37.5
"157",-200,-190,60,70,46.4285714285714
"158",-200,-190,70,80,36.3636363636364
"159",-200,-190,80,90,38.8888888888889
"160",-200,-190,90,100,31.5789473684211
"161",-200,-190,100,110,30.7692307692308
"162",-200,-190,110,120,18.1818181818182
"163",-200,-190,120,130,75
"164",-200,-190,130,140,29.4117647058824
"165",-200,-190,140,150,46.7741935483871
"166",-200,-190,150,160,36.9718309859155
"167",-200,-190,160,170,34.6303501945525
"168",-200,-190,170,180,32.8042328042328
"169",-200,-190,180,190,37.6623376623377
"170",-200,-190,190,200,30.6122448979592
"171",-200,-190,200,210,34.6938775510204
"172",-200,-190,210,220,46.6666666666667
"173",-200,-190,220,230,27.2727272727273
"174",-200,-190,230,240,0
"175",-200,-190,240,250,0
"176",-200,-190,250,260,0
"177",-200,-190,260,270,0
"178",-200,-190,270,280,0
"179",-200,-190,280,290,0
"180",-200,-190,290,300,0
"181",-190,-180,0,10,39.5348837209302
"182",-190,-180,10,20,34.8837209302326
"183",-190,-180,20,30,46.6666666666667
"184",-190,-180,30,40,40.9090909090909
"185",-190,-180,40,50,40
"186",-190,-180,50,60,27.2727272727273
"187",-190,-180,60,70,53.3333333333333
"188",-190,-180,70,80,44.8275862068966
"189",-190,-180,80,90,33.3333333333333
"190",-190,-180,90,100,31.5789473684211
"191",-190,-180,100,110,63.1578947368421
"192",-190,-180,110,120,15
"193",-190,-180,120,130,31.25
"194",-190,-180,130,140,0
"195",-190,-180,140,150,50
"196",-190,-180,150,160,42.8571428571429
"197",-190,-180,160,170,39.8692810457516
"198",-190,-180,170,180,35.3896103896104
"199",-190,-180,180,190,36.0730593607306
"200",-190,-180,190,200,30.7086614173228
"201",-190,-180,200,210,35.9375
"202",-190,-180,210,220,35.5555555555556
"203",-190,-180,220,230,12.5
"204",-190,-180,230,240,23.0769230769231
"205",-190,-180,240,250,40
"206",-190,-180,250,260,0
"207",-190,-180,260,270,0
"208",-190,-180,270,280,100
"209",-190,-180,280,290,0
"210",-190,-180,290,300,25
"211",-180,-170,0,10,40.4761904761905
"212",-180,-170,10,20,38.4615384615385
"213",-180,-170,20,30,38.8888888888889
"214",-180,-170,30,40,53.5714285714286
"215",-180,-170,40,50,44.4444444444444
"216",-180,-170,50,60,30.4347826086957
"217",-180,-170,60,70,40.9090909090909
"218",-180,-170,70,80,37.037037037037
"219",-180,-170,80,90,27.7777777777778
"220",-180,-170,90,100,38.4615384615385
"221",-180,-170,100,110,52.9411764705882
"222",-180,-170,110,120,27.5862068965517
"223",-180,-170,120,130,40
"224",-180,-170,130,140,36.3636363636364
"225",-180,-170,140,150,37.5
"226",-180,-170,150,160,40
"227",-180,-170,160,170,31.5789473684211
"228",-180,-170,170,180,36.7741935483871
"229",-180,-170,180,190,34.4907407407407
"230",-180,-170,190,200,35.0694444444444
"231",-180,-170,200,210,37.7358490566038
"232",-180,-170,210,220,27.8481012658228
"233",-180,-170,220,230,21.1538461538462
"234",-180,-170,230,240,42.8571428571429
"235",-180,-170,240,250,36.3636363636364
"236",-180,-170,250,260,20
"237",-180,-170,260,270,25
"238",-180,-170,270,280,25
"239",-180,-170,280,290,0
"240",-180,-170,290,300,100
"241",-170,-160,0,10,58.974358974359
"242",-170,-160,10,20,45.6521739130435
"243",-170,-160,20,30,36.3636363636364
"244",-170,-160,30,40,36.1702127659574
"245",-170,-160,40,50,27.5862068965517
"246",-170,-160,50,60,47.3684210526316
"247",-170,-160,60,70,54.1666666666667
"248",-170,-160,70,80,42.8571428571429
"249",-170,-160,80,90,37.1428571428571
"250",-170,-160,90,100,57.1428571428571
"251",-170,-160,100,110,19.2307692307692
"252",-170,-160,110,120,38.4615384615385
"253",-170,-160,120,130,37.1428571428571
"254",-170,-160,130,140,40.625
"255",-170,-160,140,150,38.7096774193548
"256",-170,-160,150,160,41.6666666666667
"257",-170,-160,160,170,50
"258",-170,-160,170,180,35.8974358974359
"259",-170,-160,180,190,34.2175066312997
"260",-170,-160,190,200,36.6822429906542
"261",-170,-160,200,210,37.8640776699029
"262",-170,-160,210,220,31.7647058823529
"263",-170,-160,220,230,46.8354430379747
"264",-170,-160,230,240,40
"265",-170,-160,240,250,35.7142857142857
"266",-170,-160,250,260,18.75
"267",-170,-160,260,270,50
"268",-170,-160,270,280,50
"269",-170,-160,280,290,0
"270",-170,-160,290,300,0
"271",-160,-150,0,10,25.4545454545455
"272",-160,-150,10,20,47.5
"273",-160,-150,20,30,38.0952380952381
"274",-160,-150,30,40,31.8181818181818
"275",-160,-150,40,50,33.3333333333333
"276",-160,-150,50,60,44.6428571428571
"277",-160,-150,60,70,55.8139534883721
"278",-160,-150,70,80,32.5
"279",-160,-150,80,90,51.6129032258064
"280",-160,-150,90,100,38.7096774193548
"281",-160,-150,100,110,33.3333333333333
"282",-160,-150,110,120,32.5581395348837
"283",-160,-150,120,130,24.4444444444444
"284",-160,-150,130,140,45.6521739130435
"285",-160,-150,140,150,31.4285714285714
"286",-160,-150,150,160,28.5714285714286
"287",-160,-150,160,170,52.6315789473684
"288",-160,-150,170,180,33.3333333333333
"289",-160,-150,180,190,31.25
"290",-160,-150,190,200,40.2912621359223
"291",-160,-150,200,210,39.5491803278689
"292",-160,-150,210,220,37.7551020408163
"293",-160,-150,220,230,27.6119402985075
"294",-160,-150,230,240,34.2465753424658
"295",-160,-150,240,250,36.6666666666667
"296",-160,-150,250,260,20.8333333333333
"297",-160,-150,260,270,20
"298",-160,-150,270,280,0
"299",-160,-150,280,290,0
"300",-160,-150,290,300,0
"301",-150,-140,0,10,41.25
"302",-150,-140,10,20,29.1139240506329
"303",-150,-140,20,30,54.2857142857143
"304",-150,-140,30,40,36.9230769230769
"305",-150,-140,40,50,46.031746031746
"306",-150,-140,50,60,38.5964912280702
"307",-150,-140,60,70,46.1538461538462
"308",-150,-140,70,80,41.1764705882353
"309",-150,-140,80,90,33.3333333333333
"310",-150,-140,90,100,40.9090909090909
"311",-150,-140,100,110,44.7368421052632
"312",-150,-140,110,120,47.5409836065574
"313",-150,-140,120,130,45
"314",-150,-140,130,140,35.7142857142857
"315",-150,-140,140,150,36.8421052631579
"316",-150,-140,150,160,37.9310344827586
"317",-150,-140,160,170,47.3684210526316
"318",-150,-140,170,180,21.0526315789474
