,GAME_ID,GAME_DATE,MATCHUP
1,0021700002,2017-10-17,HOU @ GSW
2,0021700001,2017-10-17,BOS @ CLE
4,0021700011,2017-10-18,MIN @ SAS
6,0021700012,2017-10-18,POR @ PHX
9,0021700007,2017-10-18,MIL @ BOS
11,0021700005,2017-10-18,MIA @ ORL
12,0021700003,2017-10-18,CHA @ DET
15,0021700004,2017-10-18,BKN @ IND
16,0021700010,2017-10-18,DEN @ UTA
18,0021700009,2017-10-18,ATL @ DAL
21,0021700013,2017-10-18,HOU @ SAC
23,0021700006,2017-10-18,PHI @ WAS
24,0021700008,2017-10-18,NOP @ MEM
26,0021700016,2017-10-19,LAC @ LAL
28,0021700015,2017-10-19,NYK @ OKC
31,0021700014,2017-10-19,CHI @ TOR
32,0021700019,2017-10-20,BOS @ PHI
34,0021700026,2017-10-20,LAL @ PHX
37,0021700022,2017-10-20,ORL @ BKN
38,0021700018,2017-10-20,POR @ IND
40,0021700021,2017-10-20,CLE @ MIL
42,0021700024,2017-10-20,SAC @ DAL
45,0021700023,2017-10-20,UTA @ MIN
46,0021700017,2017-10-20,ATL @ CHA
49,0021700020,2017-10-20,DET @ WAS
51,0021700025,2017-10-20,GSW @ NOP
52,0021700031,2017-10-21,SAS @ CHI
55,0021700030,2017-10-21,DET @ NYK
56,0021700028,2017-10-21,ORL @ CLE
59,0021700032,2017-10-21,DAL @ HOU
60,0021700029,2017-10-21,IND @ MIA
63,0021700037,2017-10-21,PHX @ LAC
65,0021700036,2017-10-21,OKC @ UTA
67,0021700034,2017-10-21,POR @ MIL
68,0021700035,2017-10-21,SAC @ DEN
71,0021700027,2017-10-21,PHI @ TOR
73,0021700033,2017-10-21,GSW @ MEM
75,0021700040,2017-10-22,NOP @ LAL
76,0021700038,2017-10-22,ATL @ BKN
79,0021700039,2017-10-22,MIN @ OKC
81,0021700046,2017-10-23,TOR @ SAS
83,0021700048,2017-10-23,SAC @ PHX
85,0021700043,2017-10-23,MEM @ HOU
87,0021700041,2017-10-23,PHI @ DET
89,0021700042,2017-10-23,ATL @ MIA
91,0021700045,2017-10-23,GSW @ DAL
92,0021700044,2017-10-23,CHA @ MIL
94,0021700047,2017-10-23,WAS @ DEN
96,0021700051,2017-10-24,NYK @ BOS
98,0021700049,2017-10-24,CHI @ CLE
101,0021700050,2017-10-24,BKN @ ORL
102,0021700054,2017-10-24,UTA @ LAC
104,0021700053,2017-10-24,NOP @ POR
107,0021700052,2017-10-24,IND @ MIN
108,0021700057,2017-10-25,HOU @ PHI
111,0021700063,2017-10-25,TOR @ GSW
113,0021700064,2017-10-25,WAS @ LAL
115,0021700062,2017-10-25,UTA @ PHX
117,0021700058,2017-10-25,CLE @ BKN
119,0021700056,2017-10-25,MIN @ DET
120,0021700059,2017-10-25,SAS @ MIA
122,0021700061,2017-10-25,MEM @ DAL
125,0021700055,2017-10-25,DEN @ CHA
126,0021700060,2017-10-25,IND @ OKC
128,0021700065,2017-10-26,ATL @ CHI
131,0021700068,2017-10-26,LAC @ POR
132,0021700067,2017-10-26,BOS @ MIL
