,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,NEW_X,NEW_Y
1039,Shot Chart Detail,0021700014,16,202685,Jonas Valanciunas,1610612761,Toronto Raptors,1,10,26,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-35,4,1,1,20171019,TOR,CHI,217.3094010767585,-5.378221735089294
1040,Shot Chart Detail,0021700014,20,202685,Jonas Valanciunas,1610612761,Toronto Raptors,1,9,52,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-56,170,1,1,20171019,TOR,CHI,292.14954576223636,154.99484522385714
1042,Shot Chart Detail,0021700014,25,202685,Jonas Valanciunas,1610612761,Toronto Raptors,1,9,22,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6,1,1,20171019,TOR,CHI,246.53589838486224,-6.0
1067,Shot Chart Detail,0021700014,278,202685,Jonas Valanciunas,1610612761,Toronto Raptors,2,2,44,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,3,12,1,1,20171019,TOR,CHI,259.9282032302755,12.803847577293368
1074,Shot Chart Detail,0021700014,326,202685,Jonas Valanciunas,1610612761,Toronto Raptors,3,10,20,Made Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,12,48,1,1,20171019,TOR,CHI,289.71281292110206,51.21539030917347
1078,Shot Chart Detail,0021700014,379,202685,Jonas Valanciunas,1610612761,Toronto Raptors,3,6,32,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6,1,1,20171019,TOR,CHI,246.53589838486224,-6.0
1106,Shot Chart Detail,0021700014,589,202685,Jonas Valanciunas,1610612761,Toronto Raptors,4,3,49,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,5,1,1,20171019,TOR,CHI,246.88675134594814,3.392304845413264
1109,Shot Chart Detail,0021700014,606,202685,Jonas Valanciunas,1610612761,Toronto Raptors,4,2,13,Made Shot,Turnaround Bank Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,5,6,1,1,20171019,TOR,CHI,258.46410161513774,7.339745962155614
1112,Shot Chart Detail,0021700014,635,202685,Jonas Valanciunas,1610612761,Toronto Raptors,4,0,31,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,19,1,1,20171019,TOR,CHI,262.9696551146029,19.535898384862247
2075,Shot Chart Detail,0021700027,36,202685,Jonas Valanciunas,1610612761,Toronto Raptors,1,9,5,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-39,26,1,1,20171021,TOR,PHI,226.01110699893027,15.549981495186215
